date,plane_type,country,airline,fat,px,phase,cause
1994-12-17,DHC-6 Twin Otter 200,Papua New Guinea,Missionary Aviation Fellowship,28,36,en_route,pilot error
1994-12-26,Airbus 1300B2-1c,France,Air France,7,23,grounded,hostage situation
1994-12-29,Boeing 737-4Y0,Turkey,Turkish Airlines,57,48,approach,low visibility
1995-01-10,DHC-6 Twin Otter 300,Indonesia,Merpati Nusantara,14,29,en_route,bad weather
1995-01-10,Douglas DC-9-14,Colombia,Intercontinental de Aviación,51,46,approach,crew error
1995-01-17,DHC-6 Twin Otter 300,Nepal,Royal Nepal Airlines,2,17,takeoff,mechanical failure
1995-01-20,Let L-410UVP,Russia,Abakan Airlines,3,19,takeoff,engine failure
1995-01-28,Beechcraft 200 Super King Air,Papua New Guinea,Sociedade de Aviaçao Ligeira,2,17,initial_climb,shot down
1995-03-31,Airbus A310-324,Romania,TAROM,60,49,en_route,crew error
1995-05-01,Swearingen SA227-CC Metro 23,Canada,Bearskin Airlines,3,19,approach,pilot error
1995-05-24,Embraer 110P1 Bandeirante,UK,Knight Air,12,27,en_route,instrument failure
1995-06-09,de Havilland Canada DHC-8,New Zealand,Ansett New Zealand,4,20,approach,pilot error
1995-06-16,Antonov 2P,Russia,Aeroflot,13,28,en_route,low visibility
1995-06-24,Tupolev 134A,Nigeria,"Komi Avia, operating for Harka Air Services",16,30,landing,bad weather
1995-07-12,DHC-6 Twin Otter 300,Papua New Guinea,Milne Bay Air,15,29,en_route,electrical fire
1995-07-17,DHC-6 Twin Otter 300,Indonesia,Merpati Nusantara,1,15,takeoff,wet runway
1995-07-18,Douglas C-47A-80-DL,Madagascar,Madagascar AF,36,40,approach,pilot error
1995-08-09,Hawker Siddeley HS-748-216 Srs,Indonesia,Bouraq Indonesia,10,26,en_route,pilot & crew error
1995-08-09,Boeing 737-2H6,El Salvador,Aviateca,65,50,approach,pilot & crew error
1995-08-14,Embraer 110P1 Bandeirante,Colombia,AIRES Colombia,8,24,en_route,pilot & crew error
1995-08-21,Embraer EMB-120 Brasília,USA,Atlantic Southeast Airlines,9,25,en_route,design flaw
1995-09-09,CASA C-212 Aviocar 200,Colombia,SATENA,22,33,approach,low visibility
1995-09-11,Antonov 26B,Afghanistan,Ariana Afghan Airlines,3,19,approach,pilot & crew error
1995-09-15,Fokker 50,Malaysia,Malaysia Airlines,34,39,landing,pilot error
1995-09-20,DHC-3 Otter,Canada,Walsten Air Service,6,22,approach,engine failure
1995-09-21,Antonov 24RV,Mongolia,MIAT Mongolian Airlines,42,42,approach,pilot error
1995-11-08,Fokker F-27 Friendship 400M,Argentina,Lineas Aereas del Estado,53,46,en_route,low visibility
1995-11-13,Boeing 737-F29,Nigeria,Nigeria Airways,11,27,landing,pilot error
1995-12-03,Boeing 737-200,Cameroon,Cameroon Airlines,71,52,approach,mechanical failure
1995-12-05,Tupolev 134b-3,Azerbaijan,Azerbaijan Airlines,52,46,initial_climb,maintenance error
1995-12-07,Beech 1900D,Haiti,Air Saint Martin,20,32,en_route,pilot & atc error
1995-12-07,Tupolev 154B,Russia,Khabarovsk United Air,98,59,en_route,fuel imbalance
1995-12-13,Antonov An-24B,Italy,Banat Air,49,45,takeoff,pilot error
1995-12-18,Lockheed L-188C Electra,Angola,Trans Service Airlift,141,69,unknown,overload
