rank,title,author,year
587,The Kite Runner,Khaled Hosseini,2003
588,"Life, a User's Manual",Georges Perec,1978
589,My Name is Red,Orhan Pamuk,2001
590,The House of the Seven Gables,Nathaniel Hawthorne,1851
591,Do Androids Dream of Electric Sheep?,Philip K. Dick,1968
592,The Wanderer,Henri Alain-Fournier,1913
593,Bridget Jones's Diary,Helen Fielding,1996
594,Zazie in the Metro,Raymond Queneau,1959
595,Sir Gawain and the Green Knight,Simon Armitage,2007
596,Bonjour Tristesse,Francoise Sagan,1954
597,Way of All Flesh,Samuel Butler,1903
598,The Blind Assassin,Margaret Atwood,2000
599,The Tale of Peter Rabbit,Beatrix Potter,1902
600,First Love,Ivan Turgenev,1860
601,Much Ado about Nothing,William Shakespeare,1599
602,Perfume,Patrick Suskind,1985
603,La Saga/ Fuga de J. B./ The Saga/ Escape of J.B.,Gonzalo Torrente Ballester,1972
604,"The Tootinameh; Or, Tales of a Parrot","India, Iran",1560
605,Les Enfants Terribles,Jean Cocteau,1929
606,Antiworlds,Andrey Voznesensky,
607,Somersault,Kenzaburō Ōe,1999
608,The Stone Raft,José Saramago,1986
609,The Reader,Bernhard Schlink,1995
610,The Years with Laura Diaz,Carlos Fuentes,1999
611,A Tomb for Boris Davidovich,Danilo Kiš,1976
612,The Rings of Saturn,W. G. Sebald,1998
613,The Kalevala,Elias Lönnrot,1835
614,"If Not Now, When?",Primo Levi,1982
615,Happy Moscow,Andrey Platonov,
616,The Black Book,Orhan Pamuk,1990
617,"Memed, My Hawk",Yashar Kemal,1955
618,Count Julian,Juan Goytisolo,1970
619,Italian Folktales,Italo Calvino,1956
620,Soul and Other Stories,Andrey Platonov,
621,Jealousy: A Novel,Alain Robbe-Grillet,1957
622,The Sorrow Of War,Bao Ninh,1990
623,My City: A Hong Kong Story,Xi Xi,
624,Teahouse,by She Lao,1957
625,The Book of Songs,China,1937
626,Fateless,Imre Kertész,1975
627,Another Country,Karel Schoeman,1984
628,"Charlie And The Chocolate Factory,",Roald Dahl,1964
629,Poems of Alfred Lord Tennyson,Alfred Lord Tennyson,1892
630,The Dog Star,Agneta Pleijel,
631,Embers,Sandor Marai,1942
632,The Dancing Girl of Izu and Other Stories,Yasunari Kawabata,1929
633,The Royal Physician's Visit: A Novel,Per Olov Enquist,1999
634,The Half Brother: A Novel,Lars Saabye Christensen,2011
635,Édes Anna,Dezső Kosztolányi,1991
636,The Return and Other Stories,Andrey Platonov,
637,Le Roman de la Rose,Guillaume (de Lorris),1230
638,The Burn: A Novel in Three Books : (late Sixties--early Seventies),Vassily Aksyonov,1975
639,August 1914,Aleksandr Isaevich Solzhenit︠s︡yn,1971
640,Smilla's Sense of Snow: A Novel,Peter Høeg,1992
641,Henry V,William Shakespeare,1599
642,Journey by Moonlight,Antal Szerb,1937
643,The Collected Songs of Cold Mountain,Han Shan,1985
644,The Stories of Raymond Carver,Raymond Carver,1988
645,The Skeleton,Amrita Pritam,1950
646,Identity: A Novel,Milan Kundera,1998
647,Thousand Cranes,Yasunari Kawabata,1952
648,Life and Fate,Vasily Grossman,1959
649,Soul Mountain,Xingjian Gao,1990
650,Growth of the Soil,Knut Hamsun,1920
651,Thérèse Raquin,Emile Zola,1867
652,The Three-Arched Bridge,Ismail Kadare,1978
653,"And where Were You, Adam?",Heinrich Böll,1951
654,The Gift,Vladimir Nabokov,1938
655,The Garlic Ballads: A Novel,Yan Mo,
656,The Sot-Weed Factor,John Barth,1960
657,Where the Wild Things Are,Maurice Sendak,1963
658,The Joy Luck Club,Amy Tan,1989
659,The Monkey Wrench Gang,Edward Abbey,1975
660,Disgrace,J. M. Coetzee,1999
661,Howl and Other Poems,Allen Ginsberg,1956
662,The Known World,Edward P. Jones,2003
663,Fragments,Heraclitus,-475
664,Sula,Toni Morrison,1973
665,Schindler's List,Thomas Keneally,1982
666,The Awakening,Kate Chopin,1899
667,The Sleepwalkers,Hermann Broch,1931
668,Jazz,Toni Morrison,1992
669,The Collected Stories of Eudora Welty,Eudora Welty,1982
670,The Crucible,Arthur Miller,1953
671,The Shining,Stephen King,1977
672,Fables of La Fontaine,Jean de La Fontaine,1694
673,A Streetcar Named Desire,Tennessee Williams,1947
674,Daniel Deronda,George Eliot,1876
675,Alcools,Guillaume Apollinaire,1913
676,At Swim Two-Birds,Flann O'Brien,1939
677,The Collected Stories of William Faulkner,William Faulkner,1950
678,Four Quartets, T. S. Eliot,1943
679,Hopscotch,Julio Cortázar,1963
680,Manon Lescaut,Abbe Prevost,1731
681,The Day of the Locust,Nathanael West,1939
682,Poems of Rumi,Jalāl al-Dīn Rūmī (Maulana),1273
683,The Savage Detectives,Roberto Bolaño,1998
684,Nectar in a Sieve,Kamala Markandaya,1954
685,Waiting,Ha Jin,1999
686,"Are You There God? It's Me, Margaret",Judy Blume,1970
687,The Line of Beauty,Alan Hollinghurst,2004
688,Varieties of Disturbance: Stories,Lydia Davis,2007
689,The Rainbow,D. H. Lawrence,1915
690,Manhattan Transfer,John Dos Passos,1925
691,The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,1910
692,The Collected Stories of Isaac Babel,Isaac Babel,1955
693,Story of Ferdinand,Munro Leaf,1936
694,Hyperion,Friedrich Holderlin,1797
695,The Cloister and the Hearth,Charles Reade,1861
696,The Little Grey Men,B B,1942
697,Smoky the Cowhorse,Will James,1927
698,Stories from the Lord Keuner,Dieter Wöhrle,1926
699,Stories of Adalbert Stifter,Adalbert Stifter,1868
700,Sudelbücher,Georg Christoph Lichtenberg,
701,Track,Ernst Bloch,
702,The Loyal Subject,Heinrich Mann,1918
703,The Voyages of Doctor Dolittle,Hugh Lofting,1922
704,Miss Susie Slagle's,Augusta Tucker,1939
705,Elective Affinities,Johann Wolfgang von Goethe,1809
706,The Scarlet Plague,Jack London,1915
707,The Little Engine that Could,Platt & Munk,1930
708,Miss Pickerell Goes to Mars,Ellen Macgregor,1951
709,The Seventh Cross,Anna Seghers,1942
710,Pygmalion,Bernard Shaw,1912
711,Edmund Dulac's Fairy-Book,Edmund Dulac,1953
712,Forever: A Novel,Pete Hamill,2003
713,The Life and Opinions of the Tomcat Murr,E.T.A. Hoffmann,1819
714,Aus dem Leben eines Taugenichts,Joseph von Eichendorff,1826
715,The Moon is Down,John Steinbeck,1942
716,Simplicius Simplicissimus,Hans Jakob Christoffel von Grimmelshausen,1668
717,Green Henry,Gottfried Keller,1855
718,The Stechlin,Theodor Fontane,1899
719,The Song of Hiawatha,Henry Wadsworth Longfellow,1855
720,Stories,Heinrich von Kleist,1777
721,The Hunger Games,Suzanne Collins,
722,Casino Royale,Ian Fleming,1953
723,The Collected Stories of Heinrich Boll,Heinrich Boll,1948
724,Siebenkäs,Jean Paul,1796
725,"Abu Telfan, Return from the Mountains of the Moon",Wilhelm Karl Raabe,1867
726,Lenz,Georg Buchner,1839
727,Gone Girl,Gillian Flynn,
728,The Warlord of Mars,Edgar Rice Burroughs,1913
729,The Island Within,Ludwig Lewisohn,1928
730,Querelle,Jean Genet,1947
731,Schatzkästlein des Rheinischen Hausfreundes,Johann Peter Hebel,1811
732,A Game of Thrones,George R. R. Martin,1996
733,The Sheltering Sky,Paul Bowles,1949
734,Wings of the Dove,Henry James,1902
735,NW: A Novel,Zadie Smith,2012
736,Villette,Charlotte Bronte,1853
737,Little Disturbances,Grace Paley,1959
738,Maldoror (Les Chants de Maldoror),Comte de Lautréamont,1869
739,The Code of the Woosters,P. G. Wodehouse,1938
740,Brick Lane,Monica Ali,2003
741,The Mists of Avalon,Marion Zimmer Bradley,1983
742,One Hundred and One Poems by Paul Verlaine,Paul Verlaine,1999
743,East of Eden,John Steinbeck,1952
744,The God of Small Things,Arundhati Roy,1997
745,Bel Canto,Ann Patchett,2001
746,Kristin Lavransdatter,Sigrid Undset,1920
747,Tell Me a Riddle,Tillie Olsen,1961
748,The Fall,Albert Camus,1956
749,Notes from the Underground,Fyodor Dostoyevsky,1864
750,Life of Pi,Yann Martel,2001
751,Ferdydurke,Witold Gombrowicz,1937
752,The Horse's Mouth,Joyce Cary,1944
753,Cold Comfort Farm,Stella Gibbons,1932
754,The Once and Future King,T. H. White,1958
755,The Feast of the Goat: A Novel,Mario Vargas Llosa,2000
756,The Famished Road,Ben Okri,1991
757,Prufrock and Other Observations,T.S. Eliot,1917
758,The Human Stain,Philip Roth,2000
759,Man's Fate,Andre Malraux,1934
760,Selected Poems,Pierre Ronsard,1585
761,A Fine Balance,Rohinton Mistry,1995
762,Baudolino,Umberto Eco,2000
763,The Razor's Edge,W. Somerset Maugham,1944
764,Remainder,Tom McCarthy,2005
765,Collected Works of Edna St. Vincent Millay,Edna St. Vincent Millay,1950
766,The Magus,John Fowles,1966
767,Selected Poems of Lord Byron,Lord Byron,1824
768,The Poems of Wilfred Owen,Wilfred Owen,1920
769,The Real Life of Sebastian Knight,Vladimir Nabokov,1941
770,The Poems of Sappho,Sappho,-570
771,Selected Stories,D. H. Lawrence,1930
772,Kaputt,Curzio Malaparte,
773,Decline and Fall,Evelyn Waugh,1928
774,Poems of Friedrich Hölderlin,Friedrich Hölderlin,1843
775,Snow Falling on Cedars,David Guterson,1994
776,The Passion,Jeanette Winterson,1987
777,The Posthumous Memoirs of Bras Cubas,Machado de Assis,1881
778,Les Filles du feu,Gerard de Nerval,1854
779,What We Talk About When We Talk About Love,Raymond Carver,1981
780,Deliverance,James Dickey,1970
781,Gilead,Marilynne Robinson,2004
782,Appointment in Samarra,John O'Hara,1934
783,Regeneration,Pat Barker,1991
784,The Tartar Steppe,Dino Buzzati,1940
785,The New York Trilogy,Paul Auster,1987
786,Dombey and Son,Charles Dickens,1848
787,The Talented Mr. Ripley,Patricia Highsmith,1950
788,Poems of Eugenio Montale,Eugenio Montale,1975
789,Cold Mountain,Charles Frazier,1997
790,The Complete Writings of Alfred de Musset,Alfred de Musset,1857
791,The Swimming-Pool Library,Alan Hollinghurst,1988
792,High Fidelity,Nick Hornby,1995
793,The Little Stranger,Sarah Waters,2009
794,Going After Cacciato,Tim O'Brien,1979
795,The Bridge of San Luis Rey,Thornton Wilder,1927
796,Cathedral,Raymond Carver,1984
797,The Giver,Lois Lowry,1993
798,New Grub Street: A Novel,George Gissing,1891
799,The Merry Adventures of Robin Hood,Howard Pyle,1883
800,Gogol's Wife,Tommaso Landolfi,1963
801,The Old Curiosity Shop,Charles Dickens,1941
802,The Day of the Triffids,John Wyndham,1951
803,A Canticle for Leibowitz,Walter M. Miller,1961
804,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,1884
805,Dinner at the Homesick Restaurant,Anne Tyler,1982
806,Birds of America,Lorrie Moore,1998
807,The Shell Seekers,Rosamunde Pilcher,1987
808,Andersonville,MacKinlay Kantor,1955
809,The Collected Poems of William Carlos Williams: 1909-1939,William Carlos Williams,1939
810,"The Figaro Trilogy: The Barber of Seville, The Marriage of Figaro, The Guilty Mother",Pierre-Augustin Caron de Beaumarchais,1792
811,Les Tragiques,Agrippa d'Aubigné,1616
812,Les Destinées,Alfred de Vigny,1864
813,Richard III,William Shakespeare,1592
814,The Transit of Venus,Shirley Hazzard,1980
815,Betrayed by Rita Hayworth,Manuel Puig,1968
816,Three Lives,Gertrude Stein,1909
817,Poet in New York,Frederico García Lorca,1929
818,The Prince of Tides,Pat Conroy,1986
819,The Accidental Tourist,Anne Tyler,1985
820,And Then There Were None,Agatha Christie,1939
821,Daisy Miller,Henry James,1878
822,The Return of the Native,Thomas Hardy,1878
823,The Hour of the Star,Clarice Lispector,1977
824,Miss Lonelyhearts,Nathanael West,1933
825,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1976
826,Ubu Roi,Alfred Jarry,1896
827,The Collected Works of Paul Valéry,Paul Valéry,1945
828,The Hamlet,William Faulkner,1940
829,Lunch Poems,Frank O'Hara,1964
830,The Complete Poetry of César Vallejo,César Vallejo,1979
831,Conversation in the Cathedral,Mario Vargas Llosa,1969
832,Carmen,Prosper Mérimée,1845
833,Cold Sassy Tree,Olive Ann Burns,1984
834,"Twelfth Night: Or, What You Will",William Shakespeare,1602
835,Marivaux: Three Plays,Pierre Carlet de Chamblain de Marivaux,1763
836,La légende des siècles,Victor Hugo,1859
837,The Shipping News,E. Annie Proulx,1993
838,Poems of Pablo Neruda,Pablo Neruda,1975
839,Los lanzallamas,Roberto Arlt,1931
840,The Burning Plain and Other Stories,Juan Rulfo,1953
841,The Last Books of Hector Viel Temperley,Hector Viel Temperley ,1982
842,Calligrammes,Guillaume Apollinaire,1918
843,Pigs in Heaven,Barbara Kingsolver,1993
844,The Poems of Jaime Gil de Biedma ,Jaime Gil de Biedma ,1982
845,Celestina,Fernando de Rojas,1499
846,Rimas,Gustavo Adolfo Bécquer,1850
847,Trilce,César Vallejo,1922
848,The Shipyard,Juan Carlos Onetti,1961
849,Three Trapped Tigers,Guillermo Cabrera Infante,1967
850,Residence on Earth,Pablo Neruda,1933
851,La Regenta,Clarín,1884
852,Juan De Mairena,Antonio Machado,1936
853,Fortunata and Jacinta,Benito Pérez Galdós,1887
854,Nero Wolfe,Rex Stout,1934
855,The Manticore,Robertson Davies,1972
856,Death on Credit,Louis-Ferdinand Céline,1936
857,Fifth Business,Robertson Davies,1970
858,Tarzan of the Apes,Edgar Rice Burroughs,1912
859,The Progress of Love,Alice Munro,1986
860,The Hardy Boys,Franklin W. Dixon,1927
861,World of Wonders,Robertson Davies,1975
862,Lad: a Dog,Albert Payson Terhune,1919
863,The Complete Poems,Philip Larkin,1985
864,The Princess Bride: An Illustrated Edition of S. Morgenstern's Classic Tale of True Love and High Adventure,William Goldman,1973
865,Mrs. Bridge,Evan S. Connell,1959
866,Mr Bridge,Evan S. Connell,1969
867,Complete Stories,Dorothy Parker,1967
868,The Sirens of Titan,Kurt Vonnegut,1959
869,The Poetry of Derek Walcott 1948-2013,Derek Walcott,2013
870,We Have Always Lived in the Castle,Shirley Jackson,1962
871,Freedom: A Novel,Jonathan Franzen,2010
872,Kolyma Tales,Varlan Shalanov,1954
873,Collected Stories,Raymond Chandler,2009
874,Giants in the Earth,Ole Edvart Rolvaag,1927
875,Small Island,Andrea Levy,2004
876,Bohemian Lights,Ramón del Valle-Inclán,1924
877,The Garden of the Finzi-Continis,Giorgio Bassani,1962
878,Last Evenings with Teresa,Juan Marse,1965
879,Poems by Machado,Antonio Machado,1917
880,Poems of Góngora,Luis de Góngora,1600
881,The First Man,Albert Camus,1994
882,The Shadow Line,Joseph Conrad,1917
883,Mortal y rosa,Francisco Umbral,1975
884,Demian,Hermann Hesse,1919
885,The Poetry of Luis Cernuda,Luis Cernuda,1963
886,"Spain, Take This Chalice from Me",Cesar Vallejo,1937
887,Aunt Julia and the Scriptwriter,Mario Vargas Llosa,1977
888,The Time of the Hero,Mario Vargas Llosa,1963
889,Peter Pan,J. M. Barrie,1902
890,Illuminations,Arthur Rimbaud,1886
891,Sanctuary,William Faulkner,1931
892,Sonnets,Julián Olivares,1625
893,"Three plays: The hostage, Crusts, The humiliation of the father",Paul Claudel,1955
894,Wry-Blue Loves: Les Amours Jaunes,Tristan Corbière,1873
895,Les Contemplations,Victor Hugo,1856
896,La Nuit obscure,Jean de la Croix,
897,Wise Children,Angela Carter,1991
898,The Diary of a Country Priest,Georges Bernanos,1936
899,The Blue Flower,Penelope Fitzgerald,1997
900,A Visit From The Goon Squad,Jennifer Egan,2010
901,The Fortress of Solitude,Jonathan Lethem,2003
902,Old Filth,Jane Gardam,2004
903,Sense and Sensibility,Jane Austen,1811
904,Never Mind,Edward St Aubyn,1992
905,Some Hope,Edward St. Aubyn,1994
906,Bad News,Edward St Aubyn,1992
907,At Last,Edward St. Aubyn,2012
908,Mother's Milk,Edward St Aubyn,2005
909,Cat's Cradle,Kurt Vonnegut,1963
910,Under the Net,Iris Murdoch,1954
911,Time and Again,Jack Finney,1970
912,Excellent Women,Barbara Pym,1952
913,The Jewel In The Crown,Paul Scott,1966
914,The Poetry of Ezra Pound,Ezra Pound,1972
915,A Legacy,Sybille Bedford,1956
916,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,1824
917,The Buddha of Suburbia,Hanif Kureishi,1990
918,The Memoirs of a Survivor,Doris May Lessing,1974
919,There But For The,Ali Smith,2011
920,The Czar's Madman,Jaan Kross,1978
921,Barefoot,Zaharia Stancu,
922,The Dwarf,Par Lagerkvist,1945
923,The Wind on the Moon,Eric Linklater,1944
924,The Man Without a Way,Erik Lindegren,
925,Cat's Eye,Margaret Atwood,1988
926,Master and Commander,Patrick O'Brian,1969
927,The Christmas Oratorio,Göran Tunström,
928,The Royal Game,Stefan Zweig,1942
929,Another Country,James Baldwin,1962
930,The Emigrants,Vilhelm Moberg,1949
931,The Last Days of Mankind,Karl Kraus,1922
932,The German Lesson,Siegfried Lenz,1968
933,Doctor Glas,Hjalmar Soderberg,1905
934,The Talisman,Sir Walter Scott,1825
935,Der Fall Mauritius,Jakob Wassermann,1928
936,"Mio, My Son",Astrid Lindgren,1954
937,Dog,Kerstin Ekman,
938,Simon and the Oaks,Marianne Fredriksson,1985
939,The Baron in the Trees,Italo Calvino,1957
940,The Long Ships,Frans G. Bengtsson,1941
941,Professor Unrat,Heinrich Mann,1905
942,The Lost Steps,Alejo Carpentier,
943,Collected Poems,Nils Ferlin,
944,They Burn the Thistles,Yaşar Kemal,1969
945,Hemsöborna,August Strindberg,1887
946,Betty Blue: The Story of a Passion,Philippe Djian,1985
947,The Days of His Grace,Eyvind Johnson,1960
948,"Farewell, My Lovely: A Novel",Raymond Chandler,1940
949,The Discovery of Heaven,Harry Mulisch,1992
950,Nathan the Wise,Gotthold Ephraim Lessing,1779
951,The Clown,Heinrich Böll,1963
952,The Sea-Wolf,Jack London,1904
953,Eye Of The Needle,Ken Follett,1978
954,Samuels bok,Sven Delblanc,1981
955,The Good Person of Szechwan,Bertolt Brecht,1943
956,"South of the Border, West of the Sun: A Novel",Haruki Murakami,1992
957,Candida: a Pleasant Play,George Bernard Shaw,1894
958,Die neuen Leiden des jungen W.,Ulrich Plenzdorf,1972
959,The Alberta Trilogy,Cora Sandel,1926
960,A Tale of Love and Darkness,Amos Oz,2002
961,The Women's Room,Marilyn French,1977
962,After the Flood,P.C. Jersild,1982
963,Effi Briest,Theodor Fontane,1896
964,The bells of Bicêtre,Georges Simenon,
965,The Emperor of Portugallia,Selma Lagerlof,1914
966,The Physicists,Friedrich Dürrenmatt,1962
967,Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,1796
968,"Don Carlos: Infante of Spain, a Drama in Five Acts",Friedrich Schiller,1787
969,Flowering Nettle,Harry Martinson,1935
970,Michael Kohlhaas,Heinrich Von Kleist,1810
971,The Red Room,August Strindberg,1879
972,The Hunting Gun,Yasushi Inoue,1949
973,Stockholm series,Per Anders Fogelström,1960
974,The Serious Game,Hjalmar Söderberg,1912
975,Rhythms,Harry Martinson,
976,Bathsheba,Torgny Lindgren,
977,The Road to Klockrike,Harry Martinson,1948
978,Barabbas,Par Lagerkvist,1950
979,The Queen's Tiara,Carl Jonas Love Almquist,1834
980,Kallocain,Karin Boye,1940
981,Splendors and Miseries of Courtesans,Honore De Balzac,1847
982,The Shadow of the Wind,Carlos Ruiz Zafon,2001
983,Second-class Citizen,Buchi Emecheta,1974
984,The Werewolf,Aksel Sandemose,
985,The Unknown Soldier,Väinö Linna,1954
986,The Book-Dealer Who Ceased Bathing,Fritiof Nilsson Piraten,1937
987,House with the Blind Glass Windows,Herbjørg Wassmo,
988,The Day of the Jackal,Frederick Forsyth,1971
989,Shadows on the Hudson: A Novel,Isaac Bashevis Singer,1957
990,Dog Soldiers,Robert Stone,1974
991,The Man in the High Castle,Philip K. Dick,1962
992,The Power and the Glory,Graham Greene,1940
993,Interpreter of Maladies,Jhumpa Lahiri,2000
994,Mason & Dixon,Thomas Pynchon,1997
995,A Fable,William Faulkner,1954
996,Red Harvest,Dashiell Hammett,1929
997,Franny and Zooey,J. D. Salinger,1961
998,What Is the What,Dave Eggers,2006
999,A Thousand Acres,Jane Smiley,1992
1000,The Prophet,Kahlil Gibran,1923
