rank,title,author,year
141,The Wind in the Willows,Kenneth Grahame,1908
142,The Count of Monte Cristo,Alexandre Dumas,1844
143,Orlando: A Biography,Virginia Woolf,1923
144,Prometheus Bound,Aeschylus,-415
145,Phèdre,Jean Racine,1677
146,Dangerous Liaison,Pierre Choderlos de Laclos,1782
147,The Picture of Dorian Gray,Oscar Wilde,1890
148,First Folio,William Shakespeare,1623
148,Eugenie Grandet,Honoré de Balzac,1833
149,Women in Love,D. H. Lawrence,1920
150,Doctor Faustus,Thomas Mann,1947
151,Hedda Gabler,Henrik Ibsen,1891
152,"Rabbit, Run ",John Updike,1960
153,Confessions of Zeno,Italo Svevo,1923
154,Lord Jim,Joseph Conrad,1900
155,The Mayor of Casterbridge,Thomas Hardy,1886
156,Berlin Alexanderplatz,Alfred Döblin,1929
157,The Handmaid's Tale,Margaret Atwood,1985
158,Their Eyes Were Watching God,Zora Neale Hurston,1937
159,American Pastoral,Philip Roth,1997
160,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886
161,The Complete Poetry and Prose of William Blake,William Blake,1827
162,My Antonia,Willa Cather,1918
163,Bleak House,Charles Dickens,1852
164,The Bacchae,Euripides,-405
165,One Flew Over the Cuckoo's Nest,Ken Kesey,1962
166,The Wind-Up Bird Chronicle,Haruki Murakami,1994
167,The Waves,Virginia Woolf,1931
168,Lysistrata,Aristophanes,-411
169,Blood Meridian,Cormac McCarthy,1986
170,Harry Potter And The Philosopher's Stone,J. K. Rowling,1997
171,The Complete Sherlock Holmes,Arthur Conan Doyle,1887
172,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,1798
173,The Ambassadors,Henry James,1903
174,Independent People,Halldor Laxness,1946
175,Complete Poems of Giacomo Leopardi,Giacomo Leopardi,1946
176,The Man Without Qualities,Robert Musil,1930
177,Howards End,E. M. Forster,1910
178,The Mill on the Floss,George Eliot,1860
179,Seven Against Thebes, Aeschylus,-467
180,The Suppliants,Aeschylus,-470
181,The Persians,Aeschylus,-472
182,A Season in Hell,Arthur Rimbaud,1873
183,Of Mice and Men,John Steinbeck,1937
184,Jude the Obscure,Thomas Hardy,1895
185,Death in Venice,Thomas Mann,1912
186,Mourning Becomes Electra, Eugene O'Neill,1931
187,The Sonnets,William Shakespeare,1609
188,Tartuffe,Molière,1664
189,All Quiet on the Western Front,Erich Maria Remarque,1929
190,Light in August,William Faulkner,1932
191,The Pickwick Papers,Charles Dickens,1837
192,Philoctetes,Sophocles,-409
193,Ajax,Sophocles,-450
194,Women of Trachis,Sophocles,-410
195,Rebecca,Daphne du Maurier,1938
195,U.S.A. Trilogy,John Dos Passos,1938
196,The Confusions of Young Törless,Robert Musil,1906
197,Lady Chatterley's Lover,D. H. Lawrence,1928
198,The Adventures of Augie March,Saul Bellow,1953
199,The Unbearable Lightness of Being,Milan Kundera,1984
200,Le Morte d'Arthur,Thomas Malory,1485
201,Little Women,Louisa May Alcott,1868
202,Gravity's Rainbow,Thomas Pynchon,1973
203,Pilgrim's Progress,John Bunyan,1678
