rank,title,author,year
547,An inquiry into the causes and effects of the variolae vaccinae,Edward Jenner,1798
548,Psychological Types,Carl Jung,1921
549,Natural History,Pliny (the Elder),79
550,"Theophrastus: His Psychological, Doxographical, and Scientific Writings","William Wall Fortenbaugh, Dimitri Gutas",1992
551,Kaffir Boy,Mark Mathabane,1986
552,Maus,Art Spiegelman,1986
553,First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,2000
554,Reading Lolita in Tehran,Azar Nafisi,2003
555,Red Scarf Girl,Ji-li Jiang,1998
556,John Adams,David McCullough,2001
557,"The Making of the President, 1960",Theodore White,1961
558,The Path to Power,Robert Caro,1982
559,I Have Lived a Thousand Years,Livia Bitton-Jackson,1997
560,All But My Life,Gerda Weissmann Klein,1957
561,My Forbidden Face,Latifa,2001
562,Falling Leaves,Adeline Yen Mah,1997
563,In My Hands,Irene Opdyke,1999
564,Funny in Farsi,Firoozeh Dumas,2003
565,Enrique's Journey,Sonia Nazario,2006
566,American Shaolin,Matthew Polly,2006
567,Rising Tide,John Barry,1997
568,Chinese Cinderella,Adeline Yen Mah,1999
569,Symposium,Plato,-370
570,My Life in France,Julia Child,2006
571,The Confessions of Nat Turner,"Nat Turner, Thomas R. Gray",1831
572,"Boswell's London Journal, 1762-1763",James Boswell,1763
573,The life and letters of Benjamin Franklin,Benjamin Franklin,1790
574,Man and His Symbols,Carl Gustav Jung,1964
575,"A Testament of Hope: The Essential Writings and Speeches of Martin Luther King, Jr.",Martin Luther King,1986
576,The Shock of the New,Robert Hughes,1980
577,Grundrisse: Foundations of the Critique of Political Economy,Karl Marx,1858
578,Eichmann in Jerusalem: A Report on the Banality of Evil,Hannah Arendt,1963
579,The Hasheesh Eater,Fitz Hugh Ludlow,1857
580,Infidel,Ayaan Hirsi Ali,2007
581,A Modest Proposal and Other Satirical Works,Jonathan Swift,1729
582,Black Elk Speaks,John G. Neihardt,1932
583,Orientalism,Edward W. Said,1978
584,Mountains Beyond Mountains: One doctor's quest to heal the world,Tracy Kidder,2003
585,Sybil,Flora Rheta Schreiber,1973
586,Against Interpretation,Susan Sontag,1966
587,The Armies of the Night,Norman Mailer,1968
588,The Hero with a Thousand Faces,Joseph Campbell,1949
589,A People's History of the United States,Howard Zinn,1980
590,The American Way of Death,Jessica Mitford,1963
591,Nadja,André Breton,1928
592,And the Band Played On,Randy Shilts,1987
593,The Writer on Her Work,Janet Sternburg,1980
594,Surrealist Manifesto,André Breton,1924
595,How We Live,Rust Hills,2003
596,A Homemade World,Hugh Kenner,1951
597,The World Within the Word,William H. Gass,1978
598,Superfiction,Joe David Bellamy,1975
599,This Hallowed Ground,Bruce Catton,1956
600,We Wish to Inform You That Tomorrow We Will Be Killed With Our Families: Stories from Rwanda,Philip Gourevitch,1998
601,Coming of Age in the Milky Way,Timothy Ferris,1988
602,"Memories, Dreams, Reflections",Carl Jung,1963
603,For a New Novel,Alain Robbe-Grillet,1953
604,Cod: A Biography of the Fish that Changed the World,Mark Kurlansky,1997
605,Other Inquisitions,Jorge Luis Borges,1952
606,Fiction and the Figures of Life,William H. Gass,1970
607,The Pleasure of the Text,Roland Barthes,1975
608,The Paris Review Interviews,Paris Review,2003
609,Race Matters,Cornel West,1994
610,For the Union Dead,Robert Lowell,1964
611,Documents of Modern Art,Robert Motherwell,1972
612,The New Fiction,Joe David Bellamy,1974
613,The Rhetoric of Fiction,Wayne C Booth,1961
614,One Writer's Beginnings,Eudora Welty,1983
615,The Mind of the South,W.J. Cash,1929
616,A Childhood: The Biography of a Place,Harry Crews,1978
617,All Over But The Shoutin',Rick Bragg,1999
618,Mary Chestnut's Civil War,Mary Chesnut,1982
619,Killers of the Dream,Lillian Smith,1949
620,The Good War,Studs Terkel,1984
621,North Toward Home,Willie Morris,1967
622,Mystery and Manners,Flannery O'Connor,1969
623,Salvation on Sand Mountain,Dennis Covington,1996
624,Incidents in the Life of a Slave Girl,Harriet Jacobs,1861
625,Lanterns on the Levee,William Alexander Percy,1941
626,I'll Take My Stand,Twelve Southerners,1930
627,The Burder of Southern History,C. Vann Woodward,1993
628,The Message In the Bottle,Walker Percy,1975
629,The Earl of Louisiana,A.J. Liebling,1970
630,Origins of the New South,C. Vann Woodward,1951
631,What It Takes,Richard Ben Cramer,1988
632,A Sense of Where You Are,John McPhee,1965
633,The Crack-Up,F. Scott Fitzgerald,1945
634,Nickel And Dimed,Barbara Ehrenreich,2001
635,Common Ground,J. Anthony Lukas,1985
636,Parting the Waters,Taylor Branch,1988
637,Experience,Martin Amis,2000
638,The Forever War,Dexter Filkins,2008
639,Anti-intellectualism in American Life,Richard Hofstadter,1963
640,The Haunted Land,Tina Rosenberg,1995
641,Untold Stories,Alan Bennett,2005
642,United States: Essays 1952-1992,Gore Vidal,1993
643,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion,2006
644,Growing Up,Russell Baker,1982
645,Edith Wharton: A Biography,R. W. B. Lewis,1975
646,A Stillness at Appomattox,Bruce Catton,1953
647,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,2010
648,Mastering the Art of French Cooking,"Julia Child, Simone Beck, and Louisette Bertholle",1961
649,The Swerve: How the World Became Modern,Stephen Greenblatt,2011
650,The Age of Wonder: How the Romantic Generation Discovered the Beauty and Terror of Science,Richard Holmes,2008
651,The Hemingses of Monticello,Annette Gordon-Reed,2008
652,Arctic Dreams,Barry Lopez,1986
653,Master of the Senate,Robert Caro,2002
654,Russia Leaves the War,George F. Kennan,1956
655,The God Delusion,Richard Dawkins,2006
656,The Spirit of St. Louis,Charles Lindbergh,1953
657,Into Thin Air,Jon Krakauer,1997
658,The 9/11 Commission Report,9/11 Commission,2004
659,The Rest is Noise,Alex Ross,2007
660,Fun Home: A Family Tragicomic,Alison Bechdel,2006
661,The Noonday Demon,Andrew Solomon,2001
662,Consider The Lobster,David Foster Wallace,2005
663,No Logo,Naomi Klein,2000
664,Slavery by Another Name,Douglas A. Blackmon,2008
665,Pictures At A Revolution,Mark Harris,2008
666,Last Train to Memphis,Peter Guralnick,1994
667,The Spirit Catches You and You Fall Down,Anne Fadiman,1997
668,Backlash,Susan Faludi,1991
669,Fast Food Nation,Eric Schlosser,2001
670,Coleridge: Early Visions,Richard Holmes,1989
671,Julia Ward Howe,Laura E. Richards and Maud Howe Elliott,1916
672,Voices from Chernobyl,Svetlana Alexievich,2005
673,"Booker T. Washington: The Wizard of Tuskegee, 1901–1915",Louis R. Harlan,1983
674,The American Leonardo: The Life of Samuel F B. Morse,Carleton Mabee,1943
675,How We Die: Reflections on Life's Final Chapter,Sherwin B. Nuland,1994
676,Looking at Dance,Edwin Denby,1972
677,"The Internal Enemy: Slavery and War in Virginia, 1772-1832",Alan Taylor,2013
678,Lindbergh,A. Scott Berg,1989
679,The Greenback Era,Irwin Unger,1965
680,Coming into the Country,John McPhee,1976
681,Crusader in Crinoline,Forrest Wilson,1942
682,In the Shadow of Man,Jane Goodall,1971
683,Gandhi's Truth,Erik H. Erikson,1969
684,Ever Since Darwin: Reflections in Natural History,Stephen Jay Gould,1977
685,The Disruption of American Democracy,Roy Franklin Nichols,1948
686,Peter the Great: His Life and World,Robert K. Massie,1980
687,"Our Bodies, Ourselves","Our Bodies, Ourselves",1973
688,Sexual Behavior in the Human Male,Alfred C. Kinsey,1948
689,"W.E.B. Dubois : Biography of a Race, 1868–1919",David Levering Lewis,1993
690,Liberty's Exiles: American Loyalists in the Revolutionary World,Maya Jasanoff,2011
691,The Edward Hoagland Reader,Edward Hoagland,1979
692,The Weather Makers,Tim Flannery,2005
693,Carry Me Home,Diane McWhorter,2001
694,AA Big Book,Bill W,1939
695,Reflections from Captivity,Ho Chi Minn,1978
696,The Visible Hand,"Alfred D. Chandler, Jr.",1977
697,"The Old Northwest, Pioneer Period 1815-1840",R. Carlyle Buley,1951
698,Henry Adams,Ernest Samuels,1965
699,Encyclicals of Pope John XXIII,Pope John XXIII,1965
700,The Race Beat,Gene Roberts and Hank Klibanoff,2006
701,The Course of Empire,Bernard A. DeVoto,1952
702,A History of the United States,Edward Channing,1926
703,Arab and Jew,David K. Shipler,1986
704,Patterns of Culture,Ruth Benedict,1934
705,"The Coming of the War, 1914",Bernadotte E. Schmitt,1931
706,The Years of Extermination,Saul Friedlander,2007
707,Herman Melville,Newton Arvin,1950
708,When Breath Becomes Air,Paul Kalanithi,2016
709,Rough Crossings,Simon Schama,2005
710,Ghost Wars,Steve Coll,2004
711,The Dred Scott Case,Don E. Fehrenbacher,1979
712,Young Men and Fire,Norman Maclean,1993
713,A Prince of Our Disorder: The Life of T E. Lawrence, John E. Mack,1976
714,Blue Highways: A Journey into America,William Least Heat-Moon,1982
715,Eden's Outcasts,John Matteson,2008
716,William Cooper's Town,Alan Taylor,1995
717,The History of the Standard Oil Company,Ida Tarbell,1904
718,Facts of Life,Maureen Howard,1977
719,John Hay,Tyler Dennett,1933
720,Munich: The Price of Peace,Telford Taylor,1979
721,O Strange New World,Howard Mumford Jones,1964
722,A Life's Work: On Becoming a Mother,Rachel Cusk,2001
723,The Great Railway Bazaar,Paul Theroux,1975
724,My Experiences in the World War,John J. Pershing,1932
725,W.E.B. Du Bois: The Fight for Equality and The American Century,David Levering Lewis,2001
726,The Masters and the Slaves,Gilberto Freyre,1933
727,The War with Mexico,Justin H. Smith,1920
728,Khrushchev: The Man and His Era,William Taubman,2003
729,The Water Is Wide,Pat Conroy,1972
730,A Critique of the Theory of Evolution,Thomas Hunt Morgan,1916
731,Pedlar's Progress,Odell Shepard,1938
732,The School and the Child,John Dewey,1906
733,Puritan Village: The Formation of a New England Town,Sumner Chilton Powell,1963
734,The Man From New York: John Quinn and His Friends,Benjamin Lawrence Reid,1969
735,The Metaphysical Club: A Story of Ideas,Louis Menand,2001
736,Lords of Finance: The Bankers Who Broke the World,Liaquat Ahamed,2009
737, A History of the Civil War,James Ford Rhodes,1918
738,Motivation and Personality,Abraham Maslow,1954
739,The Wisdom Of Crowds,James Surowiecki,2004
740,Mencken Chrestomathy,H.L. Mencken,1949
741,Collected essays,Aldous Huxley,1958
742,Scientists Against Time,James Phinney Baxter III,1947
743,The Life of John Marshall,Albert J. Beveridge,1919
744,Louise Bogan: A Portrait,Elizabeth Frank,1986
745,The Thought and Character of William James,Ralph Barton Perry,1935
746,"Washington, Village and Capital, 1800-1878",Constance McLaughlin Green,1963
747,George Washington,Douglas Southall Freeman,1957
748,The First Tycoon: The Epic Life of Cornelius Vanderbilt,T. J. Stiles,2009
749,Charles Evans Hughes,Merlo J. Pusey,1951
750,The Dragons of Eden,Carl Sagan,1977
751,Down and Out in Paris and London,George Orwell,1933
752,"Men are from Mars, Women are from Venus",John Gray,1992
753,Freedom From Fear: The American People,David M. Kennedy,1999
754,Hunger of Memory,Richard Rodriguez,1982
755,Theory of Games and Economic Behavior,John Von Neumann,1944
756,Reliable Essays: The Best of Clive James,Clive James,2001
757,Hamilton Fish,Allan Nevins,1937
758,Ralph Waldo Emerson,Ralph L. Rusk,1950
759,The Land Where the Blues Began,Alan Lomax,1993
760,Memoirs,George Frost Kennan,1968
761,Metaphors of Memory,D. Draaisma,2000
762,John C. Calhoun: American Portrait,Margaret Louise Coit,1951
763,The Life of Sir William Osler,Harvey Cushing,1925
764,"The Transformation of Virginia, 1740-1790",Rhys L. Isaac,1983
765,Roosevelt and Hopkins,Robert E. Sherwood,1949
766,The Heavens and the Earth,Walter A. McDougall,1986
767,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,2012
768,Art and Culture: Critical Essays,Clement Greenberg,1961
769,The Big Sea,Langston Hughes,1940
770,Freedom,Orlando Patterson,1991
771,The Immense Journey,Loren Eiseley,1957
772,American Prometheus,Kai Bird and Martin J. Sherwin,2005
773,Banks and Politics in America,Bray Hammond,1957
774,Imperial Reckoning,Caroline Elkins,2005
775,Lenin's Tomb: The Last Days of the Soviet Empire,David Remnick,1994
776,Ten Days That Shook the World,John Reed,1919
777,The Founding of New England,James Truslow Adams,1921
778,Origins of the Fifth Amendment,Leonard W. Levy,1968
779,Washington's Crossing,David Hackett Fischer,2003
780,The Era of Good Feelings,George Dangerfield,1952
781,Five Days at Memorial: Life and Death in a Storm-Ravaged Hospital,Sheri Fink,2013
782,Satyagraha in South Africa,Gandhi,1928
783,Forgotten First Citizen: John Bigelow,Margaret Clapp,1948
784,Double Fold: Libraries and the Assault on Paper,Nicholson Baker,2001
785,Founding Brothers: The Revolutionary Generation,Joseph Ellis,2000
786,Psychology of the Unconscious,C.G. Jung,1916
787,Under the Eye of the Clock,Christopher Nolan,1987
788,"American Education: The National Experience, 1783-1876",Lawrence A. Cremin,1981
789,Creatures that Once Were Men,Maksim Gorky,1905
790,"The Triumphant Empire: Thunder-Clouds Gather in the West, 1763-1766",Lawrence H. Gipson,1962
791,American Lion: Andrew Jackson in the White House,Jon Matteson,2009
792,Becoming a Man: Half a Life Story,Paul Monette,1992
793,Move Your Shadow,Joseph Lelyveld,1985
794,Bad Land: An American Romance,Jonathan Raban,1996
795,Uncertainty Principle,Werner Heisenberg,1935
796,Earth: An Intimate History,Richard Fortey,2004
797,John Keats,Walter Jackson Bate,1964
798,An American in Italy,Herbert Kubly,1955
799,Behaviorism,John Watson,1930
800,The Life and Times of Cotton Mather,Kenneth Silverman,1984
801,Mistress to an Age: A Life of Madame De Stael,J. Christopher Herold,1958
802,The Power Elite,C. Wright Mills,1956
803,Enthusiasms,Bernard Levin,1983
804,Conditioned Reflexes,Ivan Pavlov,1927
805,Philosophy of Modern Music,Theodor Adorno,1973
806,In the Days of McKinley,Margaret Leech,1960
807,The Suspicions of Mr Whicher,Kate Summerscale,2008
808,The Worst Hard Time,Timothy Egan,2005
809,Happiness in Marriage,Margaret Sanger,1926
810,Luce and His Empire,W.A. Swanberg,1973
811,Admiral of the Ocean Sea,Samuel Eliot Morison,1942
812,"Far From the Tree: Parents, Children and the Search for Identity",Andrew Solomon,2012
813,"The Launching of Modern American Science, 1846-1876",Robert V. Bruce,1987
814,The Reluctant Fundamentalist,Mohsin Hamid,2007
815,Arc of Justice,Kevin Boyle,2004
816,The Rape of Europa,Lynn Nicholas,1995
817,Lamy of Santa Fe,Paul Horgan,1975
818,The Growth of American Thought,Merle Curti,1943
819,Abraham Lincoln: The War Years,Carl Sandburg,1939
820,The Road to Reunion,Paul Herman Buck,1900
821,In the Heart of the Sea,Nathaniel Philbrick,2001
822,Malcolm X: A Life of Reinvention,Manning Marable,2011
823,The Flowering of New England,Van Wyck Brooks,1937
824,One Man's Meat,E. B. White,1944
825,Art and Life in America,Oliver W. Larkin,1950
826,John Paul Jones,Samuel Eliot Morison,1959
827,A Life of Picasso,John Richardson,1991
828,"Woodrow Wilson, American Prophet",Arthur Walworth,1959
829,The Taft Story,William S. White,1955
830,Pulphead: Essays,John Jeremiah Sullivan,2011
831,Harriet Beecher Stowe: A Life,Joan D. Hedrick,1994
832,A History of American Magazines,Frank Luther Mott,1939
833,Why Survive? Being Old in America,Robert Neil Butler,1975
834,The World Without Us,Alan Weisman,2007
835,Self-Consciousness,John Updike,1989
836,A Thousand Days,"Arthur M. Schlesinger, Jr.",1966
837,Study of Organic Inferiority and Its Physical Compensation: A Contribution to Clinical Medicine,Alfred Adler,1917
838,Between the World and Me,Ta-Nehisi Coates,2015
839,The Revenge of Gaia,James Lovelock,2006
840,The Beak of the Finch: A Story of Evolution in Our Time,Jonathan Weiner,1994
841,Is There No Place On Earth For Me?,Susan Sheehan,1982
842,The People's Choice,Herbert Agar,1933
843,A Constitutional History of the United States,Andrew C. McLaughlin,1935
844,Benjamin Henry Latrobe,Talbot Faulkner Hamlin,1956
845,The True Believer,Eric Hoffer,1951
846,George Bancroft: Brahmin Rebel,Russel Blaine Nye,1945
847,History of the American Frontier,Frederic L. Paxson,1924
848,Grover Cleveland,Allan Nevins,1934
849,Annals of the Former World,John McPhee,1998
850,Picture,Lillian Ross,1952
851,A Drinking Life: A Memoir,Pete Hamill,1994
852,Dust Tracks on a Road: An Autobiography,Zora Neale Hurston,1942
853,Crazy Salad: Some Things about Women,Nora Ephron,1975
854,Mein Kampf,Adolf Hitler,
855,On Human Nature,E. O. Wilson,1979
856,How to Win Friends and Influence People,Dale Carnegie,1936
857,The Measure of Man,Joseph Wood Krutch,1954
858,The Uprooted,Oscar Handlin,1952
859,Pinckney's Treaty,Samuel Flagg Bemis,1927
860,How the Other Half Lives,Jacob Riis,1890
861,Benjamin Franklin,Carl Van Doren,1938
862,The Dead Hand: The Untold Story of the Cold War Arms Race and Its Dangerous Legacy,David Hoffman,2009
863,The Autobiography of William Allen White,William Allen White,1946
864,In Our Image: America's Empire in the Philippines,Stanley Karnow,1989
865,Ashes to Ashes,Richard Kluger,1996
866,The Significance of Sections in American History,Frederick J. Turner,1933
867,Newjack: Guarding Sing Sing,Ted Conover,2001
868,Oscar Wilde,Richard Ellmann,1988
869,Change We Can Believe In,Barack Obama,2008
870,A Problem from Hell: America and the Age of Genocide,Samantha Power,2002
871,Coming of Age in Samoa,Margaret Mead,1928
872,The Victory at Sea,William Sowden Sims,1921
873,Voyagers to the West: A Passage in the Peopling of America on the Eve of the Revolution,Bernard Bailyn,1987
874,Polio: An American Story,David M. Oshinsky,2005
875,Great Plains,Ian Frazier,1989
876,de Kooning,Mark Stevens and Annalyn Swan,2005
877,Great River: The Rio Grande in North American History,Paul Horgan,1955
878,On Aggression,Konrad Lorenz,1966
879,"Devil in the Grove: Thurgood Marshall, the Groveland Boys, and the Dawn of a New America",Gilbert King,2012
880,Waiting for Snow in Havana: Confessions of a Cuban Boy,Carlos Eire,2003
881,Being Jordan,Katie Price,2004
882,Charles Sumner and the Coming of the Civil War,David Donald,1961
883,The Raven,Marquis James,1930
884,Vera,Stacy Schiff,2000
885,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Nigella Lawson,2000
886,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families, Philip Gourevitch,1998
887,Grant: A Biography,William S. McFeely,1981
888,Bury My Heart at Wounded Knee,Dee Alexander Brown,1970
889,A Daughter of the Middle Border,Hamlin Garland,1922
890,The Lion and the Throne,Catherine Drinker Bowen,1957
891,The Broken Cord,Michael Dorris,1988
892,Between War and Peace: The Potsdam Conference,Herbert Feis,1960
893,Whitman,Emory Holloway,1927
894,The Ideological Origins of the American Revolution,Bernard Bailyn,1968
895,Personal History,Katharine Graham,1997
896,Son of the Wilderness,Linnie Marsh Wolfe,1946
897,The Atlantic Migration,Marcus Lee Hansen,1860
898,An Army at Dawn,Rick Atkinson,2002
899,The Problem of Slavery in Western Culture,David Brion Davis,1966
900,A Civil Action,Jonathan Harr,1996
901,Nixonland,Rick Perlstein,2008
902,Embracing Defeat: Japan in the Wake of World War II,John W. Dower,1999
903,The Life of Andrew Jackson,Marquis James,1937
904,The Common Sense Book of Baby and Child Care,Benjamin Spock,1946
905,Summer for the Gods,Edward Larson,1997
906,A Nation under Our Feet,Steven Hahn,2003
907,Neither Black Nor White,Carl N. Degler,1972
908,Fire in the Lake,Frances FitzGerald,1972
909,The Montessori Method,Maria Montessori,1912
910,The Most Famous Man in America,Debby Applegate,2007
911,Been in the Storm So Long,Leon F. Litwack,1979
912,Rousseau and Revolution,Will and Ariel Durant,1967
913,Gulag: A History,Anne Applebaum,2003
914,My Life and Hard Times,James Thurber,1933
915,"Brother, I'm Dying",Edwidge Danticat,2007
916,The Life and Letters of Walter H. Page,Burton J. Hendrick,1923
917,Taking the World in for Repairs,Richard Selzer,1986
918,The Unwinding: An Inner History of the New America,George Packer,2013
919,Original Meanings,Jack N. Rakove,1997
920,The Price of Power,Seymour M. Hersh,1982
921,Sons of Mississippi,Paul Hendrickson,2002
922,Days of Sorrow and Pain: Leo Baeck and the Berlin Jews,Leonard Baker,1978
923,The Audacity of Hope,Barack Obama,2006
924,With Americans of Past and Present Days,Jean Jules Jusserand,1916
925,"O'Neill, Son and Artist",Louis Sheaffer,1974
926,House,Tracy Kidder,1985
927,Hirohito and the Making of Modern Japan,Herbert P. Bix,2000
928,Toms River: A Story of Science and Salvation,Dan Fagin,2013
929,Gotham: A History of New York City,Edwin G. Burrows,1998
930,Changing My Mind: Occasional Essays,Zadie Smith,2009
931,Little Wilson and Big God,Anthony Burgess,1986
932,Beautiful Swimmers,William Warner,1976
933,From Beirut to Jerusalem,Thomas L. Friedman,1995
934,"Benjamin Franklin, Self-Revealed",William Cabell Bruce,1917
935,The Joy of Sex,Alex Comfort,1972
936,Jackson Pollock: An American Saga,Steven Naifeh and Gregory White Smith,1989
937,The Course of American Democracy,Robert V. Remini,1984
938,"Woodrow Wilson, Life and Letters",Ray Stannard Baker,1939
939,Function of the Orgasm,Wilhelm Reich,1973
940,The Life of the Mind in America,Perry Miller,1965
941,A Walker in the City,Alfred Kazin,1951
942,Charles W. Eliot,Henry James,1930
943,Across the Wide Missouri,Bernard DeVoto,1947
944,The Training of an American: The Earlier Life and Letters of Walter H. Page,Burton J. Hendrick,1928
945,The Denial of Death,Ernest Becker,1973
946,Fin-de-Siècle Vienna,Carl E. Schorske,1980
947,Embers of War: The Fall of an Empire and the Making of America's Vietnam,Fredrik Logevall,2012
948,The Organization and Administration of the Union Army,Fred Albert Shannon,1928
949,Exploration and Empire: The Explorer and the Scientist in the Winning of the American West,William H. Goetzmann,1966
950,The Reformation,Diarmaid MacCulloch,2003
951,Walter Lippmann and the American Century,Ronald Steel,1980
952,Huey Long,Thomas Harry Williams,1969
953,"The Impending Crisis, 1841-1867",David M. Potter,1977
954,Farewell to Manzanar,"Jeanne Wakatsuki Houston, James D. Houston",1973
955,The Fiery Trial: Abraham Lincoln and American Slavery,Eric Foner,2010
956,My Kind of Place,Susan Orlean,2004
957,The Engineering of Consent,Edward Bernays,1947
958,Paul Revere and the World He Lived In,Esther Forbes,1942
959,Medical Apartheid,Harriet A. Washington,2007
960,Stamped from the Beginning: The Definitive History of Racist Ideas in America,Ibram X. Kendi,2016
961,"Age of Ambition: Chasing Fortune, Truth, and Faith in the New China",Evan Osnos,2014
962,Smoking and Health,Surgeon General,1962
963,Weapons and Hope,Freeman Dyson,1983
964,Parliament of Whores,P. J. O'Rourke,1991
965,Just Kids,Patti Smith,2010
966,"Time, Love, Memory",Jonathan Weiner,1999
967,The Wordy Shipmates,Sarah Vowell,2008
968,Edmund Pendleton 1721–1803,David J. Mays,1952
969,Eleanor and Franklin,Joseph P. Lash,1972
970,The American Orchestra and Theodore Thomas,Charles Edward Russell,1927
971,The Radicalism of the American Revolution,Gordon S. Wood,1992
972,Unfinished Business,Stephen Bonsal,2004
973,From Immigrant to Inventor,Michael I. Pupin,1924
974,The Content of Our Character,Shelby Stelle,1989
975,Postwar,Tony Judt,2005
976,Lincoln at Gettysburg,Garry Wills,1992
977,The Names,N. Scott Momaday,1976
978,The War of Independence,Claude H. Van Tyne,1929
979,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,2010
980,Theodore Roosevelt,Henry F. Pringle,1932
981,What Hath God Wrought,Daniel Walker Howe,2007
982,Devil In The White City,Erik Larson,2003
983,"The Prize: The Epic Quest for Oil, Money, and Power",Daniel Yergin,1990
984,Snobbery: The American Version,Joseph Epstein,2002
985,The Raw and the Cooked,Claude Levi-Strauss,1969
986,The Blair Years,Alastair Campbell,2007
987,Intelligent Life in the Universe,Carl Sagan,1966
988,Legacy of Ashes: The History of the CIA,Tim Weiner,2007
989,Masscult and Midcult: Essays Against the American Grain,Dwight Macdonald,1962
990,God: A Biography,Jack Miles,1995
991,London Orbital: A Year Walking Around the M25,Iain Sinclair,2002
992,The Soul of a New Machine,Tracy Kidder,1981
993,A Midwife's Tale,Laurel Thatcher Ulrich,1990
994,"Robert Frost: The Years of Triumph, 1915–1938",Lawrence Thompson,1971
995,Bearing the Cross: Martin Luther King Jr. and the Southern Christian Leadership Conference,David J. Garrow,1986
996,And Their Children After Them,Dale Maharidge and Michael Williamson,1989
997,Wandering Through Winter,Edwin Way Teale,1965
998,Tales from Ovid,Ted Hughes,1997
999,Mr. Clemens and Mark Twain,Justin Kaplan,1966
1000,Whoredom in Kimmage,Rosemary Mahoney,1993
